test ndcg 1:0.4342, 3:0.4367, 5:0.4422, 7:0.4558, 10:0.4688
test ndcg 1:0.4320, 3:0.4348, 5:0.4353, 7:0.4463, 10:0.4647
test ndcg 1:0.0839, 3:0.0997, 5:0.1098, 7:0.1243, 10:0.1469
test ndcg 1:0.0839, 3:0.1003, 5:0.1137, 7:0.1296, 10:0.1510
test ndcg 1:0.0771, 3:0.0998, 5:0.1143, 7:0.1303, 10:0.1488
test ndcg 1:0.0839, 3:0.1028, 5:0.1139, 7:0.1321, 10:0.1521
test ndcg 1:0.0862, 3:0.0952, 5:0.1088, 7:0.1268, 10:0.1479
test ndcg 1:0.0760, 3:0.0967, 5:0.1120, 7:0.1268, 10:0.1506
test ndcg 1:0.0760, 3:0.0995, 5:0.1140, 7:0.1298, 10:0.1547
test ndcg 1:0.0771, 3:0.0998, 5:0.1201, 7:0.1319, 10:0.1576
test ndcg 1:0.0726, 3:0.0908, 5:0.1098, 7:0.1255, 10:0.1464
test ndcg 1:0.0805, 3:0.1017, 5:0.1164, 7:0.1340, 10:0.1564
test ndcg 1:0.0794, 3:0.1050, 5:0.1267, 7:0.1523, 10:0.1804
test ndcg 1:0.0794, 3:0.0979, 5:0.1139, 7:0.1321, 10:0.1564
test ndcg 1:0.0862, 3:0.1018, 5:0.1133, 7:0.1286, 10:0.1536
test ndcg 1:0.4127, 3:0.4266, 5:0.4320, 7:0.4486, 10:0.4710
test ndcg 1:0.0952, 3:0.1801, 5:0.2337, 7:0.2666, 10:0.3013
test ndcg 1:0.0941, 3:0.1793, 5:0.2357, 7:0.2662, 10:0.3045
test ndcg 1:0.0862, 3:0.0966, 5:0.1087, 7:0.1238, 10:0.1477
test ndcg 1:0.0862, 3:0.1014, 5:0.1096, 7:0.1242, 10:0.1477
test ndcg 1:0.0862, 3:0.0984, 5:0.1066, 7:0.1250, 10:0.1474
test ndcg 1:0.4104, 3:0.4199, 5:0.4256, 7:0.4394, 10:0.4585
test ndcg 1:0.1270, 3:0.2075, 5:0.2470, 7:0.2784, 10:0.3173
test ndcg 1:0.3900, 3:0.3945, 5:0.4143, 7:0.4228, 10:0.4496
test ndcg 1:0.0794, 3:0.1003, 5:0.1206, 7:0.1420, 10:0.1716
test ndcg 1:0.3073, 3:0.3129, 5:0.3331, 7:0.3507, 10:0.3763
test ndcg 1:0.2630, 3:0.2517, 5:0.2620, 7:0.2760, 10:0.2955
test ndcg 1:0.2721, 3:0.3064, 5:0.3125, 7:0.3323, 10:0.3567
test ndcg 1:0.3492, 3:0.3648, 5:0.3912, 7:0.4047, 10:0.4312
test ndcg 1:0.4252, 3:0.4267, 5:0.4352, 7:0.4489, 10:0.4690
test ndcg 1:0.4252, 3:0.4246, 5:0.4305, 7:0.4407, 10:0.4606
test ndcg 1:0.3900, 3:0.3854, 5:0.3846, 7:0.3980, 10:0.4185
