test ndcg 1:0.1023, 3:0.1282, 5:0.1475, 7:0.1665, 10:0.1923
test ndcg 1:0.0989, 3:0.1254, 5:0.1444, 7:0.1641, 10:0.1919
test ndcg 1:0.1057, 3:0.1319, 5:0.1458, 7:0.1691, 10:0.1949
test ndcg 1:0.0943, 3:0.1199, 5:0.1367, 7:0.1595, 10:0.1870
test ndcg 1:0.0977, 3:0.1166, 5:0.1305, 7:0.1499, 10:0.1805
test ndcg 1:0.0943, 3:0.1148, 5:0.1346, 7:0.1553, 10:0.1835
test ndcg 1:0.0977, 3:0.1191, 5:0.1333, 7:0.1547, 10:0.1830
test ndcg 1:0.1011, 3:0.1234, 5:0.1380, 7:0.1572, 10:0.1853
test ndcg 1:0.0954, 3:0.1160, 5:0.1352, 7:0.1553, 10:0.1793
test ndcg 1:0.1011, 3:0.1263, 5:0.1415, 7:0.1634, 10:0.1913
test ndcg 1:0.1000, 3:0.1271, 5:0.1431, 7:0.1655, 10:0.1937
test ndcg 1:0.1000, 3:0.1306, 5:0.1519, 7:0.1713, 10:0.2000
test ndcg 1:0.1126, 3:0.1420, 5:0.1545, 7:0.1750, 10:0.2011
test ndcg 1:0.1195, 3:0.1543, 5:0.1781, 7:0.1946, 10:0.2270
test ndcg 1:0.1080, 3:0.1384, 5:0.1546, 7:0.1742, 10:0.2029
test ndcg 1:0.1092, 3:0.1417, 5:0.1569, 7:0.1760, 10:0.2037
test ndcg 1:0.1230, 3:0.1474, 5:0.1621, 7:0.1803, 10:0.2089
test ndcg 1:0.1230, 3:0.1452, 5:0.1616, 7:0.1826, 10:0.2117
test ndcg 1:0.1161, 3:0.1411, 5:0.1576, 7:0.1794, 10:0.2066
test ndcg 1:0.1080, 3:0.1304, 5:0.1447, 7:0.1668, 10:0.1934
test ndcg 1:0.1080, 3:0.1308, 5:0.1469, 7:0.1705, 10:0.1989
test ndcg 1:0.0977, 3:0.1200, 5:0.1353, 7:0.1566, 10:0.1844
test ndcg 1:0.1000, 3:0.1199, 5:0.1395, 7:0.1607, 10:0.1919
test ndcg 1:0.1011, 3:0.1251, 5:0.1422, 7:0.1646, 10:0.1915
test ndcg 1:0.1011, 3:0.1256, 5:0.1428, 7:0.1666, 10:0.1927
test ndcg 1:0.1103, 3:0.1328, 5:0.1507, 7:0.1709, 10:0.1961
test ndcg 1:0.1207, 3:0.1348, 5:0.1495, 7:0.1707, 10:0.1984
test ndcg 1:0.1161, 3:0.1340, 5:0.1498, 7:0.1699, 10:0.1955
test ndcg 1:0.0977, 3:0.1146, 5:0.1344, 7:0.1534, 10:0.1815
test ndcg 1:0.1023, 3:0.1219, 5:0.1404, 7:0.1572, 10:0.1848
test ndcg 1:0.0908, 3:0.1231, 5:0.1400, 7:0.1583, 10:0.1849
test ndcg 1:0.1046, 3:0.1269, 5:0.1434, 7:0.1662, 10:0.1891
test ndcg 1:0.1115, 3:0.1301, 5:0.1430, 7:0.1680, 10:0.1928
test ndcg 1:0.1207, 3:0.1282, 5:0.1427, 7:0.1619, 10:0.1883
test ndcg 1:0.1161, 3:0.1315, 5:0.1375, 7:0.1592, 10:0.1894
test ndcg 1:0.1103, 3:0.1386, 5:0.1583, 7:0.1753, 10:0.2047
test ndcg 1:0.2989, 3:0.2899, 5:0.3067, 7:0.3190, 10:0.3391
test ndcg 1:0.2736, 3:0.2588, 5:0.2696, 7:0.2835, 10:0.3000
test ndcg 1:0.1736, 3:0.1838, 5:0.2014, 7:0.2130, 10:0.2418
test ndcg 1:0.3000, 3:0.3042, 5:0.3226, 7:0.3496, 10:0.3697
test ndcg 1:0.1310, 3:0.1430, 5:0.1635, 7:0.1768, 10:0.2028
test ndcg 1:0.1080, 3:0.1366, 5:0.1515, 7:0.1673, 10:0.1952
test ndcg 1:0.1034, 3:0.1383, 5:0.1564, 7:0.1692, 10:0.1992
test ndcg 1:0.1126, 3:0.1322, 5:0.1456, 7:0.1665, 10:0.1921
test ndcg 1:0.1080, 3:0.1306, 5:0.1483, 7:0.1661, 10:0.1946
test ndcg 1:0.1161, 3:0.1314, 5:0.1513, 7:0.1727, 10:0.1986
test ndcg 1:0.0943, 3:0.1275, 5:0.1442, 7:0.1623, 10:0.1918
test ndcg 1:0.1046, 3:0.1280, 5:0.1441, 7:0.1652, 10:0.1951
test ndcg 1:0.0943, 3:0.1298, 5:0.1495, 7:0.1702, 10:0.2019
test ndcg 1:0.1023, 3:0.1269, 5:0.1412, 7:0.1571, 10:0.1886
test ndcg 1:0.0966, 3:0.1199, 5:0.1378, 7:0.1536, 10:0.1802
test ndcg 1:0.0920, 3:0.1158, 5:0.1306, 7:0.1524, 10:0.1815
test ndcg 1:0.0977, 3:0.1268, 5:0.1398, 7:0.1621, 10:0.1929
test ndcg 1:0.1069, 3:0.1257, 5:0.1409, 7:0.1625, 10:0.1922
test ndcg 1:0.0989, 3:0.1266, 5:0.1487, 7:0.1743, 10:0.2026
test ndcg 1:0.0989, 3:0.1229, 5:0.1410, 7:0.1606, 10:0.1886
test ndcg 1:0.1023, 3:0.1264, 5:0.1475, 7:0.1674, 10:0.1985
test ndcg 1:0.1034, 3:0.1226, 5:0.1332, 7:0.1529, 10:0.1796
test ndcg 1:0.1057, 3:0.1212, 5:0.1393, 7:0.1584, 10:0.1858
test ndcg 1:0.0943, 3:0.1199, 5:0.1361, 7:0.1562, 10:0.1834
test ndcg 1:0.1011, 3:0.1167, 5:0.1295, 7:0.1524, 10:0.1778
test ndcg 1:0.0954, 3:0.1302, 5:0.1518, 7:0.1727, 10:0.1979
test ndcg 1:0.0897, 3:0.1082, 5:0.1275, 7:0.1499, 10:0.1781
test ndcg 1:0.0966, 3:0.1196, 5:0.1304, 7:0.1523, 10:0.1786
test ndcg 1:0.1023, 3:0.1208, 5:0.1298, 7:0.1531, 10:0.1807
test ndcg 1:0.1011, 3:0.1219, 5:0.1373, 7:0.1536, 10:0.1844
test ndcg 1:0.1000, 3:0.1189, 5:0.1306, 7:0.1547, 10:0.1803
test ndcg 1:0.3747, 3:0.3783, 5:0.3779, 7:0.3883, 10:0.4072
test ndcg 1:0.0966, 3:0.1253, 5:0.1434, 7:0.1594, 10:0.1884
test ndcg 1:0.1046, 3:0.1422, 5:0.1613, 7:0.1851, 10:0.2125
test ndcg 1:0.0977, 3:0.1293, 5:0.1474, 7:0.1681, 10:0.1997
test ndcg 1:0.1069, 3:0.1512, 5:0.1681, 7:0.1912, 10:0.2201
test ndcg 1:0.1046, 3:0.1612, 5:0.1849, 7:0.2177, 10:0.2586
test ndcg 1:0.1299, 3:0.2099, 5:0.2468, 7:0.2803, 10:0.3180
test ndcg 1:0.1000, 3:0.1540, 5:0.1881, 7:0.2147, 10:0.2610
test ndcg 1:0.0989, 3:0.1317, 5:0.1500, 7:0.1704, 10:0.1963
test ndcg 1:0.0954, 3:0.1260, 5:0.1509, 7:0.1756, 10:0.2062
test ndcg 1:0.1000, 3:0.1242, 5:0.1499, 7:0.1766, 10:0.2105
test ndcg 1:0.1080, 3:0.1461, 5:0.1737, 7:0.2002, 10:0.2353
test ndcg 1:0.0966, 3:0.1162, 5:0.1401, 7:0.1602, 10:0.1879
test ndcg 1:0.1126, 3:0.1507, 5:0.1875, 7:0.2160, 10:0.2531
test ndcg 1:0.0977, 3:0.1372, 5:0.1604, 7:0.1842, 10:0.2155
test ndcg 1:0.0931, 3:0.1267, 5:0.1514, 7:0.1746, 10:0.2046
test ndcg 1:0.1207, 3:0.1436, 5:0.1673, 7:0.1934, 10:0.2216
test ndcg 1:0.1034, 3:0.1376, 5:0.1681, 7:0.1951, 10:0.2252
test ndcg 1:0.1069, 3:0.1390, 5:0.1730, 7:0.1983, 10:0.2270
test ndcg 1:0.1138, 3:0.1572, 5:0.1899, 7:0.2259, 10:0.2622
test ndcg 1:0.0989, 3:0.1464, 5:0.1741, 7:0.2032, 10:0.2395
test ndcg 1:0.1092, 3:0.1816, 5:0.2188, 7:0.2477, 10:0.2792
test ndcg 1:0.0931, 3:0.1213, 5:0.1503, 7:0.1751, 10:0.2048
test ndcg 1:0.0908, 3:0.1269, 5:0.1572, 7:0.1839, 10:0.2165
test ndcg 1:0.0862, 3:0.1206, 5:0.1502, 7:0.1744, 10:0.2065
test ndcg 1:0.0897, 3:0.1255, 5:0.1540, 7:0.1788, 10:0.2079
test ndcg 1:0.0977, 3:0.1381, 5:0.1715, 7:0.1997, 10:0.2328
test ndcg 1:0.3793, 3:0.3977, 5:0.4117, 7:0.4303, 10:0.4412
test ndcg 1:0.4368, 3:0.4427, 5:0.4606, 7:0.4799, 10:0.5023
test ndcg 1:0.3690, 3:0.3855, 5:0.4053, 7:0.4303, 10:0.4499
test ndcg 1:0.4736, 3:0.4781, 5:0.4878, 7:0.5039, 10:0.5242
test ndcg 1:0.4218, 3:0.4306, 5:0.4337, 7:0.4465, 10:0.4680
test ndcg 1:0.4149, 3:0.3946, 5:0.4032, 7:0.4147, 10:0.4316
test ndcg 1:0.1379, 3:0.1871, 5:0.2129, 7:0.2464, 10:0.2815
test ndcg 1:0.3046, 3:0.3271, 5:0.3430, 7:0.3554, 10:0.3709
